tema,indicador,anio,sexo,disc,entidad,rango_edad,tipo_discapacidad,num,den,casos,fuente,universo,encuesta
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,San Luis Potosí,60+,Brazos o manos,0.0,11871.0,40.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,San Luis Potosí,60+,Caminar,465.0,36585.0,120.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,San Luis Potosí,60+,Hablar o comunicarse,0.0,4118.0,13.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,San Luis Potosí,60+,Mental,0.0,7226.0,22.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,San Luis Potosí,60+,Oír,0.0,14658.0,49.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,San Luis Potosí,60+,Recordar o concentrarse,0.0,9408.0,31.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,San Luis Potosí,60+,Ver,246.0,22619.0,78.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,Sinaloa,18-29,Bañarse o vestirse,339.0,339.0,1.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,Sinaloa,18-29,Brazos o manos,0.0,523.0,1.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,Sinaloa,18-29,Caminar,640.0,943.0,3.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,Sinaloa,18-29,Hablar o comunicarse,1012.0,1012.0,4.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,Sinaloa,18-29,Mental,935.0,1144.0,5.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,Sinaloa,18-29,Oír,606.0,606.0,2.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,Sinaloa,18-29,Recordar o concentrarse,1061.0,1061.0,4.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,Sinaloa,18-29,Ver,855.0,2314.0,9.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,Sinaloa,30-44,Bañarse o vestirse,0.0,456.0,2.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,Sinaloa,30-44,Brazos o manos,0.0,1332.0,5.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,Sinaloa,30-44,Caminar,857.0,4965.0,17.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,Sinaloa,30-44,Hablar o comunicarse,349.0,349.0,1.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,Sinaloa,30-44,Mental,361.0,1370.0,5.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,Sinaloa,30-44,Oír,720.0,2203.0,6.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,Sinaloa,30-44,Recordar o concentrarse,361.0,1188.0,4.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,Sinaloa,30-44,Ver,0.0,2209.0,9.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,Sinaloa,45-59,Bañarse o vestirse,436.0,3274.0,12.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,Sinaloa,45-59,Brazos o manos,623.0,6498.0,26.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,Sinaloa,45-59,Caminar,623.0,12592.0,50.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,Sinaloa,45-59,Hablar o comunicarse,436.0,1964.0,7.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,Sinaloa,45-59,Mental,959.0,3401.0,11.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,Sinaloa,45-59,Oír,0.0,1693.0,6.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,Sinaloa,45-59,Recordar o concentrarse,436.0,4349.0,16.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,Sinaloa,45-59,Ver,748.0,8277.0,30.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,Sinaloa,60+,Bañarse o vestirse,1089.0,10617.0,42.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,Sinaloa,60+,Brazos o manos,1099.0,13561.0,55.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,Sinaloa,60+,Caminar,1825.0,40779.0,161.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,Sinaloa,60+,Hablar o comunicarse,361.0,2833.0,11.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,Sinaloa,60+,Mental,0.0,3598.0,16.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,Sinaloa,60+,Oír,0.0,7194.0,30.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,Sinaloa,60+,Recordar o concentrarse,0.0,7792.0,34.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,Sinaloa,60+,Ver,0.0,18310.0,73.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,Sonora,18-29,Bañarse o vestirse,398.0,1247.0,3.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,Sonora,18-29,Brazos o manos,0.0,1333.0,3.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,Sonora,18-29,Caminar,0.0,1014.0,3.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,Sonora,18-29,Hablar o comunicarse,1053.0,1450.0,3.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,Sonora,18-29,Mental,398.0,795.0,2.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,Sonora,18-29,Oír,655.0,655.0,1.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,Sonora,18-29,Recordar o concentrarse,524.0,1112.0,4.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,Sonora,18-29,Ver,422.0,2362.0,6.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,Sonora,30-44,Bañarse o vestirse,0.0,1340.0,3.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,Sonora,30-44,Brazos o manos,496.0,2623.0,7.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,Sonora,30-44,Caminar,0.0,3917.0,9.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,Sonora,30-44,Hablar o comunicarse,0.0,1529.0,4.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,Sonora,30-44,Mental,414.0,1943.0,5.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,Sonora,30-44,Oír,0.0,2223.0,5.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,Sonora,30-44,Recordar o concentrarse,0.0,1744.0,5.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,Sonora,30-44,Ver,0.0,3900.0,10.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,Sonora,45-59,Bañarse o vestirse,0.0,1005.0,3.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,Sonora,45-59,Brazos o manos,0.0,6501.0,16.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,Sonora,45-59,Caminar,164.0,10412.0,29.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,Sonora,45-59,Hablar o comunicarse,0.0,436.0,1.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,Sonora,45-59,Mental,0.0,1625.0,4.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,Sonora,45-59,Oír,0.0,2212.0,6.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,Sonora,45-59,Recordar o concentrarse,0.0,2096.0,5.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,Sonora,45-59,Ver,834.0,7441.0,23.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,Sonora,60+,Bañarse o vestirse,176.0,16058.0,48.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,Sonora,60+,Brazos o manos,0.0,15821.0,43.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,Sonora,60+,Caminar,583.0,43399.0,122.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,Sonora,60+,Hablar o comunicarse,0.0,4833.0,14.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,Sonora,60+,Mental,0.0,7167.0,21.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,Sonora,60+,Oír,0.0,9323.0,32.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,Sonora,60+,Recordar o concentrarse,407.0,11709.0,34.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,Sonora,60+,Ver,0.0,21180.0,66.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,Tabasco,18-29,Bañarse o vestirse,645.0,645.0,2.0,ENIGH (INEGI),Personas de 18 años o más,enigh
