tema,indicador,anio,sexo,disc,entidad,rango_edad,decil,num,den,casos,fuente,universo,encuesta
educacion,"Asiste a la escuela (18 a 29 años, ENIGH)",2020,Mujeres,Con discapacidad,Zacatecas,18-29,7,340.0,519.0,3.0,ENIGH (INEGI),Personas de 18 a 29 años,enigh
educacion,"Asiste a la escuela (18 a 29 años, ENIGH)",2020,Mujeres,Con discapacidad,Zacatecas,18-29,8,0.0,178.0,1.0,ENIGH (INEGI),Personas de 18 a 29 años,enigh
educacion,"Asiste a la escuela (18 a 29 años, ENIGH)",2020,Mujeres,Sin discapacidad,Aguascalientes,18-29,1,231.0,4655.0,35.0,ENIGH (INEGI),Personas de 18 a 29 años,enigh
educacion,"Asiste a la escuela (18 a 29 años, ENIGH)",2020,Mujeres,Sin discapacidad,Aguascalientes,18-29,10,9052.0,22565.0,128.0,ENIGH (INEGI),Personas de 18 a 29 años,enigh
educacion,"Asiste a la escuela (18 a 29 años, ENIGH)",2020,Mujeres,Sin discapacidad,Aguascalientes,18-29,2,744.0,8154.0,67.0,ENIGH (INEGI),Personas de 18 a 29 años,enigh
educacion,"Asiste a la escuela (18 a 29 años, ENIGH)",2020,Mujeres,Sin discapacidad,Aguascalientes,18-29,3,2045.0,11416.0,91.0,ENIGH (INEGI),Personas de 18 a 29 años,enigh
educacion,"Asiste a la escuela (18 a 29 años, ENIGH)",2020,Mujeres,Sin discapacidad,Aguascalientes,18-29,4,2485.0,10916.0,89.0,ENIGH (INEGI),Personas de 18 a 29 años,enigh
educacion,"Asiste a la escuela (18 a 29 años, ENIGH)",2020,Mujeres,Sin discapacidad,Aguascalientes,18-29,5,1918.0,15537.0,117.0,ENIGH (INEGI),Personas de 18 a 29 años,enigh
educacion,"Asiste a la escuela (18 a 29 años, ENIGH)",2020,Mujeres,Sin discapacidad,Aguascalientes,18-29,6,3648.0,17382.0,125.0,ENIGH (INEGI),Personas de 18 a 29 años,enigh
educacion,"Asiste a la escuela (18 a 29 años, ENIGH)",2020,Mujeres,Sin discapacidad,Aguascalientes,18-29,7,5923.0,18834.0,127.0,ENIGH (INEGI),Personas de 18 a 29 años,enigh
educacion,"Asiste a la escuela (18 a 29 años, ENIGH)",2020,Mujeres,Sin discapacidad,Aguascalientes,18-29,8,4169.0,19486.0,123.0,ENIGH (INEGI),Personas de 18 a 29 años,enigh
educacion,"Asiste a la escuela (18 a 29 años, ENIGH)",2020,Mujeres,Sin discapacidad,Aguascalientes,18-29,9,7611.0,23739.0,141.0,ENIGH (INEGI),Personas de 18 a 29 años,enigh
educacion,"Asiste a la escuela (18 a 29 años, ENIGH)",2020,Mujeres,Sin discapacidad,Baja California,18-29,1,1417.0,5856.0,39.0,ENIGH (INEGI),Personas de 18 a 29 años,enigh
educacion,"Asiste a la escuela (18 a 29 años, ENIGH)",2020,Mujeres,Sin discapacidad,Baja California,18-29,10,20949.0,55982.0,159.0,ENIGH (INEGI),Personas de 18 a 29 años,enigh
educacion,"Asiste a la escuela (18 a 29 años, ENIGH)",2020,Mujeres,Sin discapacidad,Baja California,18-29,2,2696.0,7783.0,49.0,ENIGH (INEGI),Personas de 18 a 29 años,enigh
educacion,"Asiste a la escuela (18 a 29 años, ENIGH)",2020,Mujeres,Sin discapacidad,Baja California,18-29,3,4448.0,25009.0,93.0,ENIGH (INEGI),Personas de 18 a 29 años,enigh
educacion,"Asiste a la escuela (18 a 29 años, ENIGH)",2020,Mujeres,Sin discapacidad,Baja California,18-29,4,5908.0,25032.0,106.0,ENIGH (INEGI),Personas de 18 a 29 años,enigh
educacion,"Asiste a la escuela (18 a 29 años, ENIGH)",2020,Mujeres,Sin discapacidad,Baja California,18-29,5,3742.0,33113.0,131.0,ENIGH (INEGI),Personas de 18 a 29 años,enigh
educacion,"Asiste a la escuela (18 a 29 años, ENIGH)",2020,Mujeres,Sin discapacidad,Baja California,18-29,6,12396.0,44588.0,168.0,ENIGH (INEGI),Personas de 18 a 29 años,enigh
educacion,"Asiste a la escuela (18 a 29 años, ENIGH)",2020,Mujeres,Sin discapacidad,Baja California,18-29,7,13034.0,63414.0,203.0,ENIGH (INEGI),Personas de 18 a 29 años,enigh
educacion,"Asiste a la escuela (18 a 29 años, ENIGH)",2020,Mujeres,Sin discapacidad,Baja California,18-29,8,11985.0,41969.0,163.0,ENIGH (INEGI),Personas de 18 a 29 años,enigh
educacion,"Asiste a la escuela (18 a 29 años, ENIGH)",2020,Mujeres,Sin discapacidad,Baja California,18-29,9,26876.0,80142.0,234.0,ENIGH (INEGI),Personas de 18 a 29 años,enigh
educacion,"Asiste a la escuela (18 a 29 años, ENIGH)",2020,Mujeres,Sin discapacidad,Baja California Sur,18-29,1,489.0,2304.0,24.0,ENIGH (INEGI),Personas de 18 a 29 años,enigh
educacion,"Asiste a la escuela (18 a 29 años, ENIGH)",2020,Mujeres,Sin discapacidad,Baja California Sur,18-29,10,3818.0,12962.0,123.0,ENIGH (INEGI),Personas de 18 a 29 años,enigh
educacion,"Asiste a la escuela (18 a 29 años, ENIGH)",2020,Mujeres,Sin discapacidad,Baja California Sur,18-29,2,503.0,3205.0,39.0,ENIGH (INEGI),Personas de 18 a 29 años,enigh
educacion,"Asiste a la escuela (18 a 29 años, ENIGH)",2020,Mujeres,Sin discapacidad,Baja California Sur,18-29,3,1137.0,4295.0,49.0,ENIGH (INEGI),Personas de 18 a 29 años,enigh
educacion,"Asiste a la escuela (18 a 29 años, ENIGH)",2020,Mujeres,Sin discapacidad,Baja California Sur,18-29,4,978.0,5668.0,63.0,ENIGH (INEGI),Personas de 18 a 29 años,enigh
educacion,"Asiste a la escuela (18 a 29 años, ENIGH)",2020,Mujeres,Sin discapacidad,Baja California Sur,18-29,5,2169.0,7320.0,77.0,ENIGH (INEGI),Personas de 18 a 29 años,enigh
educacion,"Asiste a la escuela (18 a 29 años, ENIGH)",2020,Mujeres,Sin discapacidad,Baja California Sur,18-29,6,1644.0,7403.0,80.0,ENIGH (INEGI),Personas de 18 a 29 años,enigh
educacion,"Asiste a la escuela (18 a 29 años, ENIGH)",2020,Mujeres,Sin discapacidad,Baja California Sur,18-29,7,2424.0,8509.0,103.0,ENIGH (INEGI),Personas de 18 a 29 años,enigh
educacion,"Asiste a la escuela (18 a 29 años, ENIGH)",2020,Mujeres,Sin discapacidad,Baja California Sur,18-29,8,2758.0,12940.0,134.0,ENIGH (INEGI),Personas de 18 a 29 años,enigh
educacion,"Asiste a la escuela (18 a 29 años, ENIGH)",2020,Mujeres,Sin discapacidad,Baja California Sur,18-29,9,5154.0,13474.0,129.0,ENIGH (INEGI),Personas de 18 a 29 años,enigh
educacion,"Asiste a la escuela (18 a 29 años, ENIGH)",2020,Mujeres,Sin discapacidad,Campeche,18-29,1,1000.0,12242.0,101.0,ENIGH (INEGI),Personas de 18 a 29 años,enigh
educacion,"Asiste a la escuela (18 a 29 años, ENIGH)",2020,Mujeres,Sin discapacidad,Campeche,18-29,10,3513.0,7670.0,60.0,ENIGH (INEGI),Personas de 18 a 29 años,enigh
educacion,"Asiste a la escuela (18 a 29 años, ENIGH)",2020,Mujeres,Sin discapacidad,Campeche,18-29,2,1496.0,10919.0,93.0,ENIGH (INEGI),Personas de 18 a 29 años,enigh
educacion,"Asiste a la escuela (18 a 29 años, ENIGH)",2020,Mujeres,Sin discapacidad,Campeche,18-29,3,2837.0,9447.0,80.0,ENIGH (INEGI),Personas de 18 a 29 años,enigh
educacion,"Asiste a la escuela (18 a 29 años, ENIGH)",2020,Mujeres,Sin discapacidad,Campeche,18-29,4,1741.0,8865.0,75.0,ENIGH (INEGI),Personas de 18 a 29 años,enigh
educacion,"Asiste a la escuela (18 a 29 años, ENIGH)",2020,Mujeres,Sin discapacidad,Campeche,18-29,5,2463.0,9048.0,74.0,ENIGH (INEGI),Personas de 18 a 29 años,enigh
